City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Souillac,MU,71.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
96,Talnakh,RU,59.97,clear sky,69.4865,88.3972,Talnakh Hotel
97,Nishihara,JP,81.68,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
98,Virginia Beach,US,79.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
100,Zyryanovsk,KZ,75.18,scattered clouds,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
101,Ribeira Grande,PT,68.41,broken clouds,38.5167,-28.7,Quinta da Meia Eira
102,Tigil,RU,69.01,overcast clouds,57.8,158.6667,Tigil'
103,Heihe,CN,86.58,clear sky,50.2441,127.4902,Hotel Strannik
104,Huarmey,PE,63.93,clear sky,-10.0681,-78.1522,Hotel Miramar
105,Bocas Del Toro,PA,80.22,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
106,Saint Anthony,US,80.65,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
107,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
108,Xai-Xai,MZ,60.73,clear sky,-25.0519,33.6442,Complexo da Familia
109,Wamba,NG,71.98,light rain,8.9333,8.6,Roma Zee Guest House Annex
110,Karratha,AU,79.93,clear sky,-20.7377,116.8463,ibis Styles Karratha
111,Liuhe,CN,86.49,clear sky,42.2401,125.7172,Grain Hostel
112,Katsuura,JP,89.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
115,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
116,Vao,NC,69.49,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
117,Hobart,AU,57.06,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
118,Tazovskiy,RU,61.9,broken clouds,67.4667,78.7,TazHostel
119,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Acarau,BR,77.7,broken clouds,-2.8856,-40.12,castelo pizzaria
121,Margate,GB,64.04,clear sky,51.3813,1.3862,Premier Inn Margate hotel
122,Cabra,ES,73.9,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
123,Sheridan,US,86.18,clear sky,44.8333,-106.9173,Comfort Inn & Suites
124,Olafsvik,IS,51.69,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
125,Alta Floresta,BR,70.47,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
126,Bethel,US,75.15,mist,41.3712,-73.414,Courtyard by Marriott Danbury
128,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
130,Mount Isa,AU,73.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
131,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
133,Balkanabat,TM,89.26,clear sky,39.5108,54.3671,Nebitchi Hotel
134,Bredasdorp,ZA,50.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
135,Hovd,MN,73.33,clear sky,48.0056,91.6419,Hotel Khovd
137,Aklavik,CA,85.03,clear sky,68.2191,-135.0107,Aklavik Inn
138,Sioux Lookout,CA,64.78,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
139,Ancud,CL,51.33,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
140,Sechura,PE,66.96,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
141,Falakata,IN,86.72,broken clouds,26.5208,89.2055,Hotel Nandanik Palace
142,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
143,Manadhoo,MV,83.1,broken clouds,5.7667,73.3833,Vevu Guesthouse
146,Mahajanga,MG,66.22,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
147,Enshi,CN,84.81,overcast clouds,30.3,109.4833,Moevenpick Enshi
148,Port-Cartier,CA,58.75,overcast clouds,50.0334,-66.8654,Le Q'Artier
151,Payson,US,85.71,overcast clouds,40.0444,-111.7321,Quality Inn Payson I-15
152,Hami,CN,80.49,scattered clouds,42.8,93.45,Laoyutang Resort
153,Bonthe,SL,76.26,light rain,7.5264,-12.505,Bonthe Holiday Village
154,Redmond,US,73.09,clear sky,47.674,-122.1215,Seattle Marriott Redmond
155,Chapais,CA,58.78,broken clouds,49.7834,-74.8492,Hôtel Opémiska
156,Galesong,ID,82.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
157,East London,ZA,54.79,overcast clouds,-33.0153,27.9116,Tu Casa
158,Flin Flon,CA,67.05,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
159,Lagoa,PT,67.46,clear sky,39.05,-27.9833,Casa Das Faias
160,Kieta,PG,82.36,light rain,-6.2167,155.6333,Uruna Bay Retreat
162,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
164,Kodiak,US,55.04,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
165,Yulara,AU,69.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
166,Bure,ET,56.28,moderate rain,10.7,37.0667,Holiday
167,Hamilton,US,76.05,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
168,Pindi Gheb,PK,87.55,scattered clouds,33.2402,72.2661,Mohallah Masjid Ghulam shah
169,Port Macquarie,AU,59.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
